Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
1962;Нет;Исправный;63;36;;4;;;;1;313507;;;;;Нет;Многоквартирный дом;;36;;;;
1957;Нет;Исправный;18;;Не присвоен;2;;3;3;1;918439;;;;;;;;;;;;
2005;Нет;Исправный;76;;B;2;2;9;9;1;159068;1;;;;;;80;;;;;
2004;Нет;Исправный;76;;B;2;2;9;9;1;159069;1;;;;;;80;;;;;
2004;Нет;Исправный;116;;B;3;3;9;9;1;159070;1;;;;;;120;;;;;
1965;Нет;Исправный;12;16;;2;;;;1;826452;;;;;Нет;;;;;;;
1995;Нет;Исправный;16;16;Не присвоен;2;;5;5;;918440;;;;;;;;;;;;
;Нет;Исправный;;;;2;;3;;1;918441;;;;;;;;;;;;
;Нет;Исправный;;;Не присвоен;2;;3;3;1;918442;;;На счете регионального оператора;;;;;;;;;
;Нет;Исправный;;;Не присвоен;1;;2;;;826453;;;;;;Многоквартирный дом;;;;;;
1961;Нет;Исправный;64;;Не присвоен;4;;4;4;1;313490;1;;На счете регионального оператора;;;;;;;;;
1961;Нет;Исправный;32;;Не присвоен;2;;4;4;1;313491;;;На счете регионального оператора;0;Нет;;;;;;;
1951;Нет;Исправный;1;10;;1;;;;1;1229473;1;;;;Нет;;;;;;;
1950;Нет;Исправный;3;14;;1;;;;1;1243627;1;;;;Нет;Многоквартирный дом;;;;;;
2011;Нет;Исправный;16;11;Не присвоен;1;;2;1;1;546229;;;На счете регионального оператора;10;;;;;;;;
1951;Нет;Исправный;;;Не присвоен;1;;2;2;;918112;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
1951;Да;Аварийный;2;;Не присвоен;1;;2;;1;918114;;;;;;Многоквартирный дом;;;;;;
1950;Да;Аварийный;2;;Не присвоен;1;;2;;;918116;;;;;Нет;Многоквартирный дом;;71;;Физический износ;;
1950;Да;Аварийный;3;;Не присвоен;1;;2;;1;918119;;;;;Нет;Многоквартирный дом;;75;;;;
1961;Нет;Исправный;48;30;;4;;;;1;1157026;;;;;Нет;Многоквартирный дом;;35;;;;
1961;Нет;Исправный;24;16;Не присвоен;2;;3;3;1;918127;;;На счете регионального оператора;;;;;;;;;
1957;Нет;Исправный;140;44;Не присвоен;9;;5;5;1;363777;10;;;;;;;;;;;
1987;Нет;Исправный;10;3;Не присвоен;2;;5;5;1;363778;;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;59;25;Не присвоен;3;;5;5;1;363779;;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;60;11;Не присвоен;4;;5;5;1;363780;;;На счете регионального оператора;0;;;;;;;;
1955;Нет;Исправный;85;17;Не присвоен;5;;5;5;;363781;1;;На счете регионального оператора;0;;;;;;;;
1955;Нет;Исправный;11;8;Не присвоен;2;;6;6;;826454;1;;На счете регионального оператора;0;;;;;;;;
1955;Нет;Исправный;28;28;Не присвоен;2;;4;4;;826455;3;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;275;78;Не присвоен;15;;5;5;;363784;5;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;211;187;Не присвоен;13;;5;5;1;363785;3;;;;;;;;;;;
1958;Нет;Исправный;80;60;Не присвоен;5;;4;4;1;363787;;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;60;56;Не присвоен;4;;5;5;1;363786;;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;133;98;Не присвоен;10;;5;5;1;363788;7;;;;;;;;;;;
1973;Нет;Исправный;59;48;Не присвоен;4;;5;5;;355422;;;На счете регионального оператора;210;;;;;;;;
2013;Нет;Исправный;29;24;Не присвоен;2;;3;1;1;538593;1;;На специальном счете у регионального оператора;;;;6;;;;;
2012;Нет;Исправный;30;24;Не присвоен;2;;3;3;1;538595;;;;;;;6;;;;;
2013;Нет;Исправный;30;24;Не присвоен;2;;3;1;1;538594;;;На специальном счете у регионального оператора;0;;;6;;;;;
1962;Нет;Исправный;16;8;Не присвоен;2;;2;2;;395541;;;На счете регионального оператора;;;;;;;;;
1958;Нет;Исправный;;;Не присвоен;1;;2;2;;395542;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
1958;Нет;Исправный;8;4;Не присвоен;1;;2;2;;395543;;;На счете регионального оператора;;;;;;;;;
1958;Нет;Исправный;;;Не присвоен;1;;2;2;;395544;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
1958;Нет;Исправный;8;4;Не присвоен;1;;2;2;;395545;;;На счете регионального оператора;;;;;;;;;
1959;Нет;Исправный;8;4;Не присвоен;1;;2;2;;395546;;;На счете регионального оператора;;;;;;;;;
1959;Нет;Исправный;;;Не присвоен;1;;2;2;;395547;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
1960;Нет;Исправный;8;;Не присвоен;1;;2;2;;395548;;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;;;Не присвоен;1;;2;2;;395549;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
1960;Нет;Исправный;8;4;Не присвоен;1;;2;2;;395550;;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;;;Не присвоен;1;;2;2;;395551;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
1961;Нет;Исправный;;;Не присвоен;1;;2;2;1;1365871;;;На счете регионального оператора;;;;;;;;;
1969;Нет;Исправный;68;;Не присвоен;4;;5;5;1;313509;2;;На счете регионального оператора;;;;;;;;;
1962;Нет;Исправный;40;;Не присвоен;2;;5;5;1;313510;1;;На счете регионального оператора;;;;;;;;;
1969;Нет;Исправный;40;52;;4;;;;1;313511;2;;;;Нет;;;;;;;
1962;Нет;Исправный;64;36;Не присвоен;4;;4;4;1;313512;;;На счете регионального оператора;;;;;;;;;
1962;Нет;Исправный;64;36;Не присвоен;4;;4;4;1;313513;1;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;2;;Не присвоен;1;;2;;1;918128;4;;;;Нет;Многоквартирный дом;;;;;;
1957;Нет;Исправный;1;;Не присвоен;1;;2;2;1;546231;;;;;;;;;;;;
1970;Нет;Исправный;32;24;;2;;;;1;313514;1;;;;Нет;;;;;;;
1949;Нет;Исправный;15;9;Не присвоен;2;;2;;1;918027;1;;;;;;;;;;;
1949;Да;Аварийный;3;;Не присвоен;1;;2;;1;918032;;;;;Нет;Многоквартирный дом;;77;18.08.2015;;;
1949;Да;Аварийный;3;;Не присвоен;1;;2;;1;918030;;;;;Нет;Многоквартирный дом;;78;18.08.2015;;;
1959;Нет;Исправный;40;32;Не присвоен;2;;5;5;1;313516;;;На счете регионального оператора;;Нет;;;;;;;
1960;Нет;Исправный;80;48;Не присвоен;4;;5;5;1;313517;1;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;42;28;Не присвоен;2;;5;5;1;313515;1;;;;;;;;;;;
1961;Нет;Исправный;26;10;Не присвоен;2;;3;3;1;918033;;;На счете регионального оператора;;;;;;;;;
1959;Нет;Исправный;38;24;Не присвоен;4;;5;5;1;313519;1;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;12;;Не присвоен;2;;3;;1;918035;3;;;;;;;;;;;
1950;Нет;Исправный;17;10;Не присвоен;2;;2;2;1;826457;4;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;14;;;2;;;;1;826458;3;;;;;;;;;;;
1949;Нет;Исправный;13;;;2;;;;;1296560;;;;;;;;;;;;
1976;Нет;Исправный;51;32;Не присвоен;1;1;9;9;1;313521;1;;На счете регионального оператора;;;;18;;;;;
1970;Нет;Исправный;70;56;;4;;;;1;820647;1;;;;Нет;Многоквартирный дом;;;;;;
1950;Нет;Исправный;14;;;2;;;;1;826459;;;;;Нет;Многоквартирный дом;;;;;;
1949;Нет;Исправный;12;8;;2;;;;1;1265757;1;;;;Нет;;;;;;;
1950;Нет;Исправный;16;10;;2;;;;1;826460;2;;;;Нет;;;;;;;
1960;Нет;Исправный;16;;Не присвоен;2;;2;2;;395554;;;На счете регионального оператора;;;;;;;;;
1953;Нет;Исправный;43;;Не присвоен;3;;4;4;1;363790;1;;На счете регионального оператора;0;;;;;;;;
1956;Нет;Исправный;80;27;Не присвоен;5;;6;5;1;363789;11;;;;;;;;;;;
1900;Нет;Исправный;8;;Не присвоен;2;;4;4;1;926387;;;На счете регионального оператора;;;;;;;;;
1953;Нет;Исправный;49;10;Не присвоен;3;;4;4;;363792;4;;На счете регионального оператора;0;;;;;;;;
1956;Нет;Исправный;25;3;Не присвоен;3;;4;4;1;926384;1;;;;;;;;;;;
1957;Нет;Исправный;48;15;Не присвоен;3;;4;4;2;363793;7;;;;;;;;;;;
1953;Нет;Исправный;59;;Не присвоен;4;;4;4;;363796;1;;На счете регионального оператора;;;;;;;;;
1955;Нет;Исправный;92;38;Не присвоен;6;;5;5;1;363795;14;;;;;;;;;;;
1959;Нет;Исправный;6;;Не присвоен;2;;4;;1;926382;;;;;Нет;;;;;;;
1956;Нет;Исправный;88;60;Не присвоен;5;;5;5;;363797;11;;На счете регионального оператора;0;;;;;;;;
1956;Нет;Исправный;60;51;Не присвоен;4;;4;4;1;363798;6;;;;;;;;;;;
1956;Нет;Исправный;43;35;С (Нормальный);3;;5;5;1;363799;2;;;;;;;;;;;
1956;Нет;Исправный;94;57;Не присвоен;5;;5;5;;363800;6;;На счете регионального оператора;0;;;;;;;;
1956;Нет;Исправный;138;69;Не присвоен;8;;5;5;1;363801;18;;;;;;;;;;;
1956;Нет;Исправный;81;49;Не присвоен;5;;5;5;1;363802;8;;;;;;;;;;;
1959;Нет;Исправный;228;148;Не присвоен;13;;5;5;;363803;20;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;125;71;Не присвоен;7;;5;5;1;363804;9;;;;;;;;;;;
1959;Нет;Исправный;80;60;;5;;;;1;363805;;;;;Нет;;;;;;;
1957;Нет;Исправный;126;67;Не присвоен;8;;5;5;;363806;12;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;53;39;Не присвоен;4;;4;4;1;363807;4;;;;;;;;;;;
1959;Нет;Исправный;80;60;;5;;;;1;363809;;;;;Нет;;;;;;;
1959;Нет;Исправный;115;116;Не присвоен;9;;5;5;1;363810;15;;;;;;;;;;;
